geneID,geneID,hamming
FN1,FN1,0.16363636363636364
COL3A1,COL3A1,0.09821428571428571
POSTN,POSTN,0.15384615384615385
COL12A1,COL12A1,0.5166666666666667
RPL18A,RPL18A,0.2755102040816326
SPARC,SPARC,0.11607142857142858
COL1A2,COL1A2,0.20833333333333334
LUM,LUM,0.27380952380952384
RPS27,RPS27,0.33152173913043476
RPS15,RPS15,0.4
RPL36,RPL36,0.2692307692307692
RPS5,RPS5,0.5588235294117647
LDHA,LDHA,1.0833333333333333
SSR4,SSR4,1.13
KRT18,KRT18,0.30701754385964913
FAU,FAU,0.5555555555555556
TIMP1,TIMP1,1.8333333333333333
C4A,C4A,0.36574074074074076
GRINA,GRINA,0.22972972972972974
RPL3,RPL3,0.14782608695652175
FTL,FTL,0.3225806451612903
B2M,B2M,0.2328767123287671
MCL1,MCL1,1.275
GNAS,GNAS,0.3617021276595745
EIF4G1,EIF4G1,1.0227272727272727
COL1A1,COL1A1,0.16666666666666666
CTSD,CTSD,0.43010752688172044
NDUFA11,NDUFA11,1.25
RPS9,RPS9,0.21074380165289255
RPLP0,RPLP0,0.19907407407407407
ADIRF,ADIRF,1.0476190476190477
LMNA,LMNA,1.3636363636363635
RPS6,RPS6,1.14
CTHRC1,CTHRC1,0.39705882352941174
METRN,METRN,0.9285714285714286
RPN2,RPN2,1.1818181818181819
PRSS23,PRSS23,0.2972972972972973
CD63,CD63,0.6333333333333333
CERS2,CERS2,1.119047619047619
IFI6,IFI6,1.2222222222222223
RPL32,RPL32,1.2241379310344827
GPX4,GPX4,0.31512605042016806
MMP14,MMP14,0.3449612403100775
RPL13,RPL13,0.13709677419354838
RPS18,RPS18,0.13671875
RPL37A,RPL37A,0.25609756097560976
RPS19,RPS19,0.296
EEF1A1,EEF1A1,0.3958333333333333
SCAND1,SCAND1,0.33739837398373984
RPL10A,RPL10A,1.358974358974359
HLA-B,HLA-B,0.18461538461538463
EEF2,EEF2,0.9038461538461539
HTRA1,HTRA1,1.8421052631578947
PPP1R1B,PPP1R1B,0.9661016949152542
LGALS1,LGALS1,1.175
SLC9A3R1,SLC9A3R1,1.2083333333333333
IGLL5,IGLL5,1.5
VIM,VIM,0.3028169014084507
APOE,APOE,1.2272727272727273
S100A9,S100A9,1.9230769230769231
COL5A2,COL5A2,0.868421052631579
EIF6,EIF6,1.411764705882353
RPS27A,RPS27A,1.1875
MALAT1,MALAT1,0.3142857142857143
NDUFS6,NDUFS6,2.1666666666666665
RPL8,RPL8,1.141304347826087
RPL28,RPL28,0.39215686274509803
GAPDH,GAPDH,0.4887640449438202
H2AFJ,H2AFJ,1.032258064516129
RPS14,RPS14,0.5928571428571429
UBA52,UBA52,1.2833333333333334
RPS2,RPS2,0.33663366336633666
HLA-DRA,HLA-DRA,1.1724137931034482
RPL15,RPL15,1.75
GRAMD1A,GRAMD1A,1.7333333333333334
RPL29,RPL29,0.5740740740740741
RPL41,RPL41,0.17699115044247787
RPS11,RPS11,0.30603448275862066
OAZ1,OAZ1,2.0535714285714284
RPLP1,RPLP1,0.2523809523809524
NDUFB7,NDUFB7,2.25
THBS1,THBS1,0.3787878787878788
VMP1,VMP1,0.26595744680851063
CST4,CST4,1.625
COX6B1,COX6B1,1.75
ARL6IP4,ARL6IP4,2.25
SERPINA3,SERPINA3,0.7692307692307693
RPS4X,RPS4X,1.90625
RPLP2,RPLP2,0.22772277227722773
RPS12,RPS12,2.25
DCN,DCN,0.5
C4orf48,C4orf48,2.1666666666666665
RPL35,RPL35,0.3346774193548387
GNB2L1,GNB2L1,1.7647058823529411
RPS29,RPS29,1.0769230769230769
ROMO1,ROMO1,0.4909090909090909
RPL10,RPL10,0.23046875
CALR,CALR,0.27941176470588236
TMEM205,TMEM205,2.9583333333333335
CFL1,CFL1,0.39655172413793105
TMSB4X,TMSB4X,0.2765957446808511
RPL19,RPL19,0.2462686567164179
ATP5EP2,ATP5EP2,0.9722222222222222
TPT1,TPT1,0.6744186046511628
CD74,CD74,1.4772727272727273
IGFBP5,IGFBP5,1.9
SPINT2,SPINT2,0.48148148148148145
RPL23,RPL23,0.29464285714285715
ALDOA,ALDOA,1.5
NACA,NACA,0.8863636363636364
HLA-A,HLA-A,0.7777777777777778
RPL7A,RPL7A,1.4166666666666667
