,cluster
16.92x9.015,1
16.945x11.075,3
16.97x10.118,4
16.939x12.132,3
16.949x13.055,4
16.942x15.088,4
16.941x17.065,1
16.919x16.055,1
9.862x9.024,1
12.08x9.115,2
10.802x9.131,2
13.979x9.1,4
15.008x9.051,4
15.949x9.027,4
15.944x10.075,3
15.002x11.082,0
15.004x10.067,3
15.968x11.107,0
13.095x11.07,4
13.98x11.112,4
13.044x10.102,1
14.012x10.11,4
14.025x13.091,0
13.03x12.084,4
13.071x13.097,3
14.011x12.095,0
15.941x12.112,0
15.041x12.084,0
15.044x13.062,0
15.919x13.049,0
10.861x10.031,2
12.009x11.134,1
12.053x10.127,2
10.877x11.024,2
9.865x9.925,1
9.904x11.036,2
9.894x13.04,1
9.876x12.033,2
12.025x13.139,4
10.901x13.022,1
10.897x12.014,1
12.054x12.119,4
12.033x15.113,0
10.927x15.025,3
12.156x14.169,4
10.918x14.019,4
9.853x15.049,4
9.846x14.032,4
9.903x17.052,3
9.938x16.03,3
11.996x16.133,0
12.138x17.112,0
10.882x16.005,0
15.042x15.076,0
15.959x14.072,3
15.052x14.069,0
15.929x15.087,4
13.045x14.103,0
14.016x15.1,0
13.988x14.097,0
12.988x15.112,0
13.02x17.101,0
13.004x16.105,0
14.042x17.098,0
14.068x16.1,0
16.001x16.036,4
15.026x17.076,3
15.987x17.056,4
15.003x16.087,3
15.965x19.084,4
15.979x20.048,4
15.982x18.073,4
15.087x18.088,3
15.043x19.053,3
15.03x20.071,3
13.963x18.117,0
14.018x20.086,0
13.051x18.114,0
13.039x19.141,0
14.024x19.115,0
13.075x20.083,0
10.915x19.122,0
12.074x19.146,0
12.12x18.147,0
10.891x18.054,0
12.083x20.128,0
10.889x20.06,3
9.927x19.137,3
9.922x20.102,4
9.973x18.069,3
16.941x18.066,2
16.982x20.044,2
16.963x19.075,2
7.948x14.067,1
7.934x15.059,1
7.888x17.1,3
7.949x16.058,1
9.039x13.047,2
8.974x15.075,4
9.005x14.101,1
9.024x17.101,4
8.966x16.052,4
8.953x18.123,4
9.016x19.137,4
7.924x19.141,1
7.923x18.071,4
14.041x21.074,0
13.048x21.079,0
16.016x21.036,4
15.011x21.199,3
9.919x21.027,1
12.104x21.106,0
10.91x21.025,4
20.956x13.026,3
21.911x12.021,3
21.985x13.004,0
20.963x12.011,4
24.104x13.074,4
23.089x13.112,0
23.159x12.11,3
18.014x13.011,2
18.003x12.045,2
18.987x12.027,2
18.947x13.037,2
20.049x13.047,4
20.043x12.064,2
20.045x15.084,4
18.999x14.054,2
20.009x14.118,4
18.946x15.079,2
18.029x15.076,2
17.985x14.023,2
18.005x16.074,2
18.006x17.101,2
18.981x16.045,1
20.057x16.054,4
19.014x17.064,1
20.053x17.144,4
23.113x15.098,0
24.051x15.103,4
24.098x14.066,4
23.14x14.129,0
21.905x14.024,0
20.997x14.001,3
20.959x15.073,3
21.95x15.022,0
21.939x16.016,0
21.942x17.038,0
20.917x16.026,3
20.931x17.088,3
23.108x17.15,0
24.073x16.077,4
24.097x17.116,4
23.132x16.099,0
25.069x12.085,1
26.094x13.04,2
25.113x13.092,1
26.038x12.058,2
26.073x15.042,2
26.05x14.068,2
25.032x14.077,4
25.104x15.095,1
26.084x17.051,1
26.069x16.055,2
25.054x16.105,4
25.072x17.081,4
25.086x19.093,3
26.095x20.067,4
25.088x18.079,4
25.097x20.079,3
26.043x18.053,4
26.096x19.077,4
23.137x19.129,0
24.104x19.104,0
23.087x18.132,0
24.109x18.089,3
24.106x20.115,0
23.144x20.121,0
21.965x20.01,0
20.908x18.049,0
20.985x20.071,0
20.969x18.993,0
21.965x19.016,0
21.939x18.025,0
19.012x19.025,4
20.06x19.068,3
18.977x18.073,4
20.064x20.082,0
18.996x20.044,1
20.104x18.051,4
17.994x18.082,2
17.979x19.059,2
8.957x11.091,2
8.997x10.052,1
9.04x12.046,2
9.006x20.114,4
14.063x22.058,3
13.084x22.085,3
16.047x22.132,1
15.028x22.055,4
12.091x22.103,4
10.908x22.093,1
12.104x23.073,1
15.037x23.003,1
13.018x23.006,1
14.06x23.002,4
25.082x21.054,4
26.076x21.03,4
27.078x21.025,1
21.016x21.023,0
21.949x21.039,0
23.16x21.089,0
24.13x21.069,0
17.988x21.061,1
19.011x21.044,4
20.069x21.094,0
23.077x11.112,4
24.087x11.075,1
21.926x11.038,4
20.93x11.007,1
20.063x11.042,2
18.93x11.054,2
17.984x11.083,1
25.03x11.1,1
27.997x14.034,2
27.034x15.057,2
27.966x15.165,2
27.06x14.035,2
27.011x17.187,2
28.04x17.062,2
27.018x16.042,2
28.004x16.037,2
28.016x19.075,2
27.041x19.066,1
26.99x18.059,1
28.047x18.055,2
26.108x22.063,4
25.084x22.07,4
26.147x22.981,1
25.146x22.992,4
21.931x22.121,0
21.074x22.101,0
23.144x22.097,3
24.114x22.074,4
19.032x22.087,4
20.043x22.146,3
20.038x22.966,4
19.031x22.942,1
24.099x23.018,4
23.137x23.03,4
21.027x22.938,3
21.978x23.005,3
20.089x24.006,1
24.146x24.011,1
23.124x24.046,4
21.01x23.944,4
22.053x23.962,4
27.018x20.088,4
17.964x10.137,1
