geneID,geneID,hamming
Apc,Apc,1.7894736842105263
Thbs2,Thbs2,1.3666666666666667
Grin3a,Grin3a,1.6785714285714286
Plin2,Plin2,3.0
Igfbp7,Igfbp7,0.30927835051546393
Itpr3,Itpr3,3.0
Lhfp,Lhfp,1.5277777777777777
Synpr,Synpr,0.10112359550561797
Cyp2j6,Cyp2j6,0.7727272727272727
Dtx4,Dtx4,0.7954545454545454
Notch2,Notch2,0.25
Fibin,Fibin,3.0
Alx4,Alx4,2.2
Unc80,Unc80,0.9666666666666667
Aplp1,Aplp1,0.1827956989247312
S100a6,S100a6,3.0
Trmt5,Trmt5,2.5555555555555554
Ptk2b,Ptk2b,1.0869565217391304
Slc35f1,Slc35f1,1.1176470588235294
Aldh1a1,Aldh1a1,4.333333333333333
Lhfpl2,Lhfpl2,3.5714285714285716
Lrrc7,Lrrc7,1.8125
Ifitm3,Ifitm3,3.0
Mmp17,Mmp17,2.5555555555555554
Celf2,Celf2,0.8653846153846154
Ccnd1,Ccnd1,1.105263157894737
Prss23,Prss23,3.5714285714285716
Pla2g16,Pla2g16,1.0714285714285714
Gad1,Gad1,0.13157894736842105
Unc13c,Unc13c,1.1944444444444444
Dlg2,Dlg2,0.23626373626373626
Slc6a13,Slc6a13,3.0
Col1a2,Col1a2,4.333333333333333
Shisa6,Shisa6,2.1666666666666665
Lipg,Lipg,4.333333333333333
Dpp10,Dpp10,0.19642857142857142
Lrp4,Lrp4,1.25
Ifih1,Ifih1,3.0
Syne2,Syne2,1.1470588235294117
Slc6a1,Slc6a1,0.20967741935483872
Acbd7,Acbd7,2.2
Col11a1,Col11a1,0.875
Gpm6b,Gpm6b,0.10752688172043011
Kif2a,Kif2a,0.2876712328767123
Ebf2,Ebf2,2.5555555555555554
Itm2b,Itm2b,0.6333333333333333
Lifr,Lifr,0.6129032258064516
Serpini1,Serpini1,0.3108108108108108
Igsf3,Igsf3,0.3203125
Tmsb4x,Tmsb4x,0.30434782608695654
Cd55,Cd55,2.5555555555555554
Chrm1,Chrm1,1.9333333333333333
Reln,Reln,0.7872340425531915
Tmem132b,Tmem132b,1.4642857142857142
Smpdl3a,Smpdl3a,0.5862068965517241
H3f3a,H3f3a,1.5344827586206897
Abca1,Abca1,1.3235294117647058
Calm2,Calm2,0.05319148936170213
Camk4,Camk4,0.8846153846153846
Map3k13,Map3k13,3.0
Snhg11,Snhg11,0.7192982456140351
Tac1,Tac1,4.333333333333333
Ppp3cb,Ppp3cb,1.4375
Dnajc6,Dnajc6,0.8235294117647058
Dclk2,Dclk2,0.2608695652173913
Lamc1,Lamc1,1.25
Entpd1,Entpd1,2.5555555555555554
Hey2,Hey2,1.4642857142857142
Bpifb9a,Bpifb9a,4.333333333333333
Lhfpl3,Lhfpl3,1.1818181818181819
Dlgap1,Dlgap1,0.29411764705882354
Notch1,Notch1,0.35526315789473684
Wfdc18,Wfdc18,1.6666666666666667
Akap12,Akap12,2.5555555555555554
Tmprss5,Tmprss5,3.5714285714285716
Cyp2a5,Cyp2a5,0.875
Zfp804a,Zfp804a,2.5555555555555554
