geneID,geneID,hamming
Sash1,Sash1,0.36538461538461536
Snap25,Snap25,0.5098039215686274
Penk,Penk,0.10833333333333334
Ptn,Ptn,0.6666666666666666
Igfbp2,Igfbp2,0.47468354430379744
Nrxn3,Nrxn3,0.25
Camk2a,Camk2a,0.49
Tshz1,Tshz1,0.17333333333333334
Scg2,Scg2,0.39864864864864863
Dclk1,Dclk1,0.6875
Slc17a7,Slc17a7,0.08196721311475409
Nrep,Nrep,0.46153846153846156
Rbfox1,Rbfox1,0.1417910447761194
Mcf2l,Mcf2l,0.2553191489361702
Bgn,Bgn,0.27586206896551724
Fam131b,Fam131b,0.25961538461538464
Gsn,Gsn,0.22972972972972974
Bin1,Bin1,0.3728813559322034
Syt7,Syt7,0.1206896551724138
Nrgn,Nrgn,0.14655172413793102
Gabrb2,Gabrb2,0.23333333333333334
Tubb2a,Tubb2a,0.65
Gng13,Gng13,0.1568627450980392
Rbfox3,Rbfox3,0.14912280701754385
Aplp1,Aplp1,0.4407894736842105
Nrsn1,Nrsn1,0.4186046511627907
Ctxn1,Ctxn1,0.1956521739130435
Slc1a2,Slc1a2,0.3
2900097C17Rik,2900097C17Rik,0.19626168224299065
Prdx6,Prdx6,0.2676056338028169
Cacnb3,Cacnb3,0.22727272727272727
Camk2n1,Camk2n1,0.2638888888888889
Vamp2,Vamp2,0.5697674418604651
Ifi27l1,Ifi27l1,0.4074074074074074
Map2k1,Map2k1,0.07857142857142857
Mt2,Mt2,0.3333333333333333
Gstm1,Gstm1,0.29375
Nr2f2,Nr2f2,0.5294117647058824
Grin1,Grin1,0.38461538461538464
Ccnd2,Ccnd2,0.65625
Doc2g,Doc2g,0.1
Mmd2,Mmd2,0.34146341463414637
Hpcal4,Hpcal4,0.2537313432835821
Cck,Cck,0.04861111111111111
Tubb2b,Tubb2b,0.3490566037735849
Kctd12,Kctd12,0.17346938775510204
Pcp4,Pcp4,0.05970149253731343
Omp,Omp,0.3108108108108108
Prkca,Prkca,0.14285714285714285
Ccnd1,Ccnd1,0.65625
Cdhr1,Cdhr1,0.1
Lmo4,Lmo4,0.45
Egr1,Egr1,0.1794871794871795
Atf5,Atf5,0.5227272727272727
Cdr1,Cdr1,0.6666666666666666
Ppp3ca,Ppp3ca,0.21052631578947367
Grb2,Grb2,0.24545454545454545
Mapk1,Mapk1,0.10714285714285714
Anks1b,Anks1b,0.2
Ndrg4,Ndrg4,0.4888888888888889
Apod,Apod,0.18421052631578946
Nsg2,Nsg2,0.1858974358974359
Cpne4,Cpne4,0.140625
Kif5b,Kif5b,0.35526315789473684
Gpm6b,Gpm6b,0.17682926829268292
Cpe,Cpe,0.2912621359223301
Apoe,Apoe,0.09146341463414634
Pmepa1,Pmepa1,0.59375
Sparcl1,Sparcl1,0.08974358974358974
Scd1,Scd1,0.4166666666666667
Camk2b,Camk2b,0.17333333333333334
Syt1,Syt1,0.5405405405405406
Calb2,Calb2,0.47126436781609193
Sepp1,Sepp1,0.17073170731707318
Agap2,Agap2,0.19078947368421054
Fabp7,Fabp7,0.20652173913043478
2010300C02Rik,2010300C02Rik,0.140625
Calm2,Calm2,0.125
S100a5,S100a5,0.4875
Glul,Glul,0.08227848101265822
Cldn5,Cldn5,0.32608695652173914
Frzb,Frzb,0.3319327731092437
Sez6,Sez6,0.20909090909090908
